,Unnamed: 1,Unnamed: 2
883,dirty,-2.0
884,disabilities,-2.0
885,disability,-2.0
886,disabling,-1.0
887,disadvantage,-2.0
888,disadvantaged,-2.0
889,disagree,-2.0
890,disagreeable,-2.0
891,disagreement,-2.0
892,disappear,-1.0
893,disappeared,-1.0
894,disappears,-1.0
895,disappoint,-2.0
896,disappointed,-2.0
897,disappointing,-2.0
898,disappointment,-2.0
899,disappointments,-2.0
900,disappoints,-2.0
901,disapproval,-2.0
902,disapprovals,-2.0
903,disapprove,-2.0
904,disapproved,-2.0
905,disapproves,-2.0
906,disapproving,-2.0
907,disaster,-2.0
908,disasters,-2.0
909,disastrous,-3.0
910,disbelieve,-2.0
911,discard,-1.0
912,discarded,-1.0
913,discarding,-1.0
914,discards,-1.0
915,discernment,2.0
916,discomfort,-2.0
917,disconsolate,-2.0
918,disconsolation,-2.0
919,discontented,-2.0
920,discord,-2.0
921,discounted,-1.0
922,discouraged,-2.0
923,discredited,-2.0
924,discriminate,-2.0
925,discriminated,-2.0
926,discriminates,-2.0
927,discriminating,-2.0
928,discriminatory,-2.0
929,disdain,-2.0
930,disease,-1.0
931,diseases,-1.0
932,disgrace,-2.0
933,disgraced,-2.0
934,disguise,-1.0
935,disguised,-1.0
936,disguises,-1.0
937,disguising,-1.0
938,disgust,-3.0
939,disgusted,-3.0
940,disgustful,-3.0
941,disgusting,-3.0
942,disheartened,-2.0
943,dishonest,-2.0
944,disillusioned,-2.0
945,disinclined,-2.0
946,disjointed,-2.0
947,dislike,-2.0
948,disliked,-2.0
949,dislikes,-2.0
950,dismal,-2.0
951,dismayed,-2.0
952,dismissed,-2.0
953,disorder,-2.0
954,disorders,-2.0
955,disorganized,-2.0
956,disoriented,-2.0
957,disparage,-2.0
958,disparaged,-2.0
959,disparages,-2.0
960,disparaging,-2.0
961,displeased,-2.0
962,displeasure,-2.0
963,disproportionate,-2.0
964,dispute,-2.0
965,disputed,-2.0
966,disputes,-2.0
967,disputing,-2.0
968,disqualified,-2.0
969,disquiet,-2.0
970,disregard,-2.0
971,disregarded,-2.0
972,disregarding,-2.0
973,disregards,-2.0
974,disrespect,-2.0
975,disrespected,-2.0
976,disrupt,-2.0
977,disrupted,-2.0
978,disrupting,-2.0
979,disruption,-2.0
980,disruptions,-2.0
981,disruptive,-2.0
982,disrupts,-2.0
983,dissatisfied,-2.0
984,distasteful,-2.0
985,distinguished,2.0
986,distort,-2.0
987,distorted,-2.0
988,distorting,-2.0
989,distorts,-2.0
990,distract,-2.0
991,distracted,-2.0
992,distraction,-2.0
993,distracts,-2.0
994,distress,-2.0
995,distressed,-2.0
996,distresses,-2.0
997,distressing,-2.0
998,distrust,-3.0
999,distrustful,-3.0
1000,disturb,-2.0
1001,disturbed,-2.0
1002,disturbing,-2.0
1003,disturbs,-2.0
1004,dithering,-2.0
1005,diverting,-1.0
1006,dizzy,-1.0
1007,dodging,-2.0
1008,dodgy,-2.0
1009,does not work,-3.0
1010,dolorous,-2.0
1011,donate,2.0
1012,donated,2.0
1013,donates,2.0
1014,donating,2.0
1015,donation,2.0
1016,dont like,-2.0
1017,doom,-2.0
1018,doomed,-2.0
1019,doubt,-1.0
1020,doubted,-1.0
1021,doubtful,-1.0
1022,doubting,-1.0
1023,doubts,-1.0
1024,douche,-3.0
1025,douchebag,-3.0
1026,dour,-2.0
1027,downcast,-2.0
1028,downer,-2.0
1029,downhearted,-2.0
1030,downside,-2.0
1031,drag,-1.0
1032,dragged,-1.0
1033,drags,-1.0
1034,drained,-2.0
1035,dread,-2.0
1036,dreaded,-2.0
1037,dreadful,-3.0
1038,dreading,-2.0
1039,dream,1.0
1040,dreams,1.0
1041,dreary,-2.0
1042,droopy,-2.0
1043,drop,-1.0
1044,dropped,-1.0
1045,drown,-2.0
1046,drowned,-2.0
1047,drowns,-2.0
1048,drudgery,-2.0
1049,drunk,-2.0
1050,dubious,-2.0
1051,dud,-2.0
1052,dull,-2.0
1053,dumb,-3.0
1054,dumbass,-3.0
1055,dump,-1.0
1056,dumped,-2.0
1057,dumps,-1.0
1058,dupe,-2.0
1059,duped,-2.0
1060,dupery,-2.0
1061,durable,2.0
1062,dying,-3.0
1063,dysfunction,-2.0
1064,eager,2.0
1065,earnest,2.0
1066,ease,2.0
1067,easy,1.0
1068,ecstatic,4.0
1069,eerie,-2.0
1070,eery,-2.0
1071,effective,2.0
1072,effectively,2.0
1073,effectiveness,2.0
1074,effortlessly,2.0
1075,elated,3.0
1076,elation,3.0
1077,elegant,2.0
1078,elegantly,2.0
1079,embarrass,-2.0
1080,embarrassed,-2.0
1081,embarrasses,-2.0
1082,embarrassing,-2.0
1083,embarrassment,-2.0
1084,embezzlement,-3.0
1085,embittered,-2.0
1086,embrace,1.0
1087,emergency,-2.0
1088,empathetic,2.0
1089,empower,2.0
1090,empowerment,2.0
1091,emptiness,-1.0
1092,empty,-1.0
1093,enchanted,2.0
1094,encourage,2.0
1095,encouraged,2.0
1096,encouragement,2.0
1097,encourages,2.0
1098,encouraging,2.0
1099,endorse,2.0
1100,endorsed,2.0
1101,endorsement,2.0
1102,endorses,2.0
1103,enemies,-2.0
1104,enemy,-2.0
1105,energetic,2.0
1106,engage,1.0
1107,engages,1.0
1108,engrossed,1.0
1109,engrossing,3.0
1110,enjoy,2.0
1111,enjoyable,2.0
1112,enjoyed,2.0
1113,enjoying,2.0
1114,enjoys,2.0
1115,enlighten,2.0
1116,enlightened,2.0
1117,enlightening,2.0
1118,enlightens,2.0
1119,ennui,-2.0
1120,enrage,-2.0
1121,enraged,-2.0
1122,enrages,-2.0
1123,enraging,-2.0
1124,enrapture,3.0
1125,enslave,-2.0
1126,enslaved,-2.0
1127,enslaves,-2.0
1128,ensure,1.0
1129,ensuring,1.0
1130,enterprising,1.0
1131,entertaining,2.0
1132,enthral,3.0
1133,enthusiastic,3.0
1134,entitled,1.0
1135,entrusted,2.0
1136,envies,-1.0
1137,envious,-2.0
1138,environment-friendly,2.0
1139,envy,-1.0
1140,envying,-1.0
1141,erroneous,-2.0
1142,error,-2.0
1143,errors,-2.0
1144,escape,-1.0
1145,escapes,-1.0
1146,escaping,-1.0
1147,esteem,2.0
1148,esteemed,2.0
1149,ethical,2.0
1150,euphoria,3.0
1151,euphoric,4.0
1152,evacuate,-1.0
1153,evacuated,-1.0
1154,evacuates,-1.0
1155,evacuating,-1.0
1156,evacuation,-1.0
1157,evergreen,2.0
1158,evergreens,2.0
1159,evergreening,-3.0
1160,eviction,-1.0
1161,evil,-3.0
1162,exacerbate,-2.0
1163,exacerbated,-2.0
